Name,Metres,Feet,Year,Type,Main use,Country,City,Remarks,Lat,Lon
Burj Khalifa,829.8,"2,722",2010,Skyscraper,"Office, residential apartments, restaurant, hotel", United Arab Emirates,Dubai,Topped out in 2009.,25.0167,55.10183333
Tokyo Skytree,634,"2,080",2012,Communications tower,"Observation, UHF/VHF-transmission, restaurant, and cafe", Japan,Tokyo,Tallest structure in Japan. Tallest tower in the world.,35.0351,139.1358333
Shanghai Tower,632,"2,073",2014,Skyscraper,"Residential, observation, office", China,Shanghai,Topped out in August 2013. Tallest structure in China.,31.0669,121.0001667
Canton Tower,604,"1,982",2010,Communications tower,"Observation, UHF/VHF-transmission, cafe, restaurant", China,Guangzhou,Topped out in 2009.,23.1009,113.1523611
Abraj Al Bait Towers,601,"1,972",2011,Skyscraper,"Hotel, shopping mall", Saudi Arabia,Mecca,,21.0856,39.15138889
Ping An Finance Centre,599.1,"1,969",2017,Skyscraper,"Office, retail", China,Shenzhen,Topped out in 2015.,22.0336,114.0001694
Goldin Finance 117,597,"1,959",2018,Skyscraper,"Hotel, residential, commercial offices", China,Tianjin,"Topped out in 2015, still uncompleted as of 2021.",39.0002,117.00245
Lotte World Tower,555.65,"1,823",2017,Skyscraper,"Retail, residential apartments, hotel, offices, observation deck", South Korea,Seoul,Topped out in 2016. Tallest building in the OECD.,37.0014,127
CN Tower,553.3,"1,815.40",1976,Communications tower,"Observation, UHF/VHF-transmission, restaurant, Tallest freestanding structure in the western hemisphere.", Canada,Toronto,Tallest freestanding structure in the world 1975–2007.,43.1335,-79.05118611
One World Trade Center,546.2,"1,792",2014,Skyscraper,"Office, observation, communication, cafe, restaurant", United States,New York City,Tallest freestanding structure in the United States. Second tallest in the western hemisphere.,40.0352,-74.00238889
Ostankino Tower,540,"1,772",1967,Communications tower,"Observation, restaurant, UHF/VHF-transmission", Russia,Moscow,Tallest freestanding structure in the world 1967–1975. Tallest structure in Europe. Renovated after a fire in 2000.,55.1503,37.10055556
Guangzhou CTF Finance Centre,530,"1,739",2016,Skyscraper,"Office, residential, hotel", China,Guangzhou,Topped out in July 2014.,23.0008,113.1511111
China Zun,527.7,"1,731",2018,Skyscraper,"Office, observation", China,Beijing,Tallest building in Beijing.,40.0021,116.1003333
